su_id,xgb_prob
323,0.00774969
324,0.010168578
325,0.8754325
326,0.004359943
327,0.9330783
328,0.008280431
329,0.004592935
330,0.0050082617
331,0.0021490403
332,0.002296881
333,0.003214351
334,0.0031518603
335,0.011370148
336,0.009760431
337,0.03776657
338,0.004305502
339,0.049361777
340,0.91751397
341,0.60008967
342,0.87488455
343,0.0070740636
344,0.87755567
345,0.9216876
346,0.006760149
347,0.019282473
348,0.0033596072
349,0.00643906
350,0.6797801
351,0.010527765
352,0.98741174
353,0.020533815
354,0.0049570706
355,0.00813785
356,0.8918728
357,0.0033224232
358,0.0032901713
359,0.003703764
360,0.0027809422
361,0.0024954218
362,0.005988806
363,0.0027404767
364,0.007662509
365,0.002889089
366,0.010148971
367,0.0018750662
368,0.0072327023
369,0.015518189
370,0.67845476
371,0.0026015986
372,0.0021548583
373,0.002718714
374,0.009587498
375,0.0029717968
376,0.002778161
377,0.0044872896
378,0.0019959442
379,0.001921837
380,0.002398129
381,0.0026118313
382,0.005861711
383,0.0019953344
384,0.9526725
385,0.97867954
386,0.0026439603
387,0.9871962
388,0.0061434614
389,0.017180292
390,0.013861119
391,0.0033175065
392,0.005547662
393,0.98592234
394,0.005441326
395,0.0013844734
396,0.0027407529
397,0.0019903376
398,0.9855989
399,0.85433817
400,0.0045753475
401,0.982041
402,0.001556562
403,0.011688612
404,0.70441973
405,0.0030110949
406,0.0035423164
407,0.0016890382
408,0.010020087
409,0.0036572844
410,0.0019589346
411,0.0149994595
412,0.027817503
413,0.008402574
414,0.021786708
415,0.005204134
416,0.0068546664
417,0.0071382965
418,0.010828924
419,0.0074479533
420,0.9379846
421,0.7906297
422,0.00495384
423,0.02151439
424,0.028155303
425,0.0013205821
426,0.004553379
427,0.012205488
428,0.015452137
429,0.9769309
430,0.99014306
431,0.7566444
432,0.94233364
433,0.0019501612
434,0.0014032859
435,0.4990814
436,0.0100021325
437,0.0071027544
438,0.93909657
439,0.9824671
440,0.0077436054
441,0.008330565
442,0.01065989
443,0.045077983
444,0.0049957717
445,0.0019432867
446,0.9539906
447,0.009677886
448,0.0033941807
449,0.0075541553
450,0.012181905
451,0.009313185
452,0.95431423
453,0.9270864
454,0.9400951
455,0.004463279
456,0.0035106493
457,0.8832028
458,0.018525094
459,0.036949106
460,0.012566007
461,0.817098
462,0.0027277584
463,0.991666
464,0.003398028
465,0.0030026282
466,0.005707641
467,0.010511827
468,0.9749282
469,0.004899386
470,0.0043376326
471,0.86021936
472,0.955952
473,0.008379026
474,0.014244418
475,0.0059292335
476,0.006461086
477,0.0018006593
478,0.9810575
479,0.010277096
480,0.99131525
481,0.0017913115
482,0.0035422377
483,0.0150436675
484,0.0056684376
485,0.009029568
486,0.0042948304
487,0.046215493
488,0.015119285
489,0.005399507
490,0.011328527
491,0.015904056
492,0.015305176
493,0.028914047
494,0.0081737805
495,0.0041787266
496,0.001975839
497,0.9050837
498,0.008150642
499,0.005992264
500,0.0018064842
501,0.01108957
502,0.0031784896
503,0.006018984
504,0.01297231
505,0.012251381
506,0.013189092
507,0.01949878
508,0.9831648
509,0.9236529
510,0.8525556
511,0.0019257317
512,0.0015276442
513,0.011740727
514,0.0031762756
515,0.019614823
516,0.0035714658
517,0.0086761825
518,0.0021898784
519,0.008789164
520,0.98969895
521,0.98371786
522,0.76846796
523,0.004452102
524,0.0024639585
525,0.014523959
526,0.44126424
527,0.9357619
528,0.015440071
529,0.0082708
530,0.034313355
531,0.019139508
532,0.98345953
533,0.0076449546
534,0.98837155
535,0.9699127
536,0.0040239436
537,0.01994131
538,0.00983103
539,0.0027469231
540,0.0028430112
541,0.0067727305
542,0.0046767523
543,0.010910141
544,0.0021416734
545,0.9822611
546,0.0029834288
547,0.0046032034
548,0.009445016
549,0.004685154
550,0.003306317
551,0.9793721
552,0.911376
553,0.007172948
554,0.8550057
555,0.0051752133
556,0.008882783
557,0.008012445
558,0.87432534
559,0.9845978
560,0.009552801
561,0.0054590413
562,0.007221146
563,0.0065796813
564,0.004680485
565,0.24919638
566,0.657129
567,0.0074973707
568,0.015527159
569,0.009536303
570,0.0066525317
571,0.9440419
572,0.014185656
573,0.04948852
574,0.009542174
575,0.008348827
576,0.97877836
577,0.97558767
578,0.93747723
579,0.021620447
580,0.008026294
581,0.022200396
582,0.021570342
583,0.963461
584,0.018705359
585,0.0069026155
586,0.99233013
587,0.4590533
588,0.8754314
589,0.0017113765
590,0.0013979012
591,0.008214121
592,0.020258859
593,0.9793747
594,0.027000627
595,0.64857996
596,0.96820235
597,0.97209597
598,0.88755536
599,0.069391236
600,0.0193776
601,0.0032529924
602,0.678162
603,0.01096754
604,0.02518596
605,0.8048146
606,0.0031329605
607,0.01421629
608,0.005770127
609,0.005677521
610,0.31634542
611,0.0068005263
612,0.6647466
613,0.00461409
614,0.014262734
615,0.0023141692
616,0.9564322
617,0.012609611
618,0.0045029987
619,0.59434617
620,0.06826189
621,0.0061754915
622,0.0075936206
623,0.030609574
624,0.10022594
625,0.7267951
626,0.10539808
627,0.0019884885
628,0.025054006
629,0.0030740106
630,0.065257356
631,0.016604502
632,0.8896467
633,0.8873127
634,0.0022528428
635,0.028074093
636,0.0036743747
637,0.0060531166
638,0.010039817
639,0.07590422
640,0.6128993
641,0.042517625
642,0.12263444
643,0.0096079325
644,0.0039151786
645,0.95551616
646,0.0071674907
647,0.010477927
648,0.008503411
649,0.08591577
650,0.0074997083
651,0.006617869
652,0.006966929
653,0.99738234
654,0.99039733
655,0.02652374
656,0.0031794433
657,0.002947257
658,0.0034053836
659,0.0029551196
660,0.91763085
661,0.9647146
662,0.8387317
663,0.05775805
664,0.9380245
665,0.9961344
666,0.052950334
667,0.0018279596
668,0.010179762
669,0.62743306
670,0.004183251
671,0.0070083034
672,0.006147271
673,0.0042198338
674,0.005449585
675,0.013544146
676,0.3537911
677,0.00997777
678,0.009097374
679,0.9308502
